DATE,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
2010-03-01,8.6,153954,20.85,257.52531366595600,86.99044094473510
2010-04-01,7.4,154622,20.97,262.94377868086900,87.16962983038550
2010-05-01,7.8,154091,20.81,291.25729489592300,87.14919319704660
2010-06-01,7.6,153616,20.69,283.16515535742600,87.59169010078330
2010-07-01,7.8,153691,20.85,252.10428736145000,87.72787547019600
2010-08-01,7.7,154086,21.05,246.32881924992000,87.83046121537820
2010-09-01,6.9,153975,21.20,260.61077790741300,87.73547178431370
2010-10-01,6.8,153635,21.31,236.82305178365900,87.82412608402770
2010-11-01,7.1,154125,21.24,326.96310695162400,87.94533149552160
2010-12-01,7.1,153650,21.36,581.23962941507800,88.14862632907780
2011-01-01,8.0,153263,21.45,391.76948666405100,88.17274462871320
2011-02-01,7.9,153214,21.43,252.30090963369800,88.50185472833600
2011-03-01,7.5,153376,21.62,212.96318973185600,88.68313497755170
2011-04-01,6.7,153543,21.72,235.80435902085800,88.84850869646840
2011-05-01,7.0,153479,21.88,193.87402958463800,88.89183586614600
2011-06-01,7.6,153346,21.89,201.33138306005900,88.83887044881330
2011-07-01,7.7,153288,22.23,227.62448557800200,89.06782462953250
2011-08-01,7.6,153760,22.19,252.98541906583000,89.06048303662890
2011-09-01,6.9,154131,22.50,245.50854089707900,89.33150395988870
2011-10-01,6.6,153961,22.66,238.47096378517100,89.12143790886700
2011-11-01,6.6,154128,22.67,215.00071588352900,89.08319360089860
2011-12-01,6.8,153995,22.85,277.60300238022800,89.14107666524370
2012-01-01,7.6,154381,23.05,274.06603862878100,89.31607245006290
2012-02-01,7.5,154671,23.01,302.23085401683800,89.54518972944390
2012-03-01,7.1,154749,23.16,280.81594331753200,89.55355353292110
2012-04-01,6.4,154545,23.39,275.16012683273500,89.60072778686780
2012-05-01,6.9,154866,23.04,283.30000820041000,89.93359419358480
2012-06-01,7.5,155083,22.93,295.26672319608800,89.95696055151220
2012-07-01,7.7,154948,23.32,310.61639340629700,90.04257370770850
2012-08-01,7.5,154763,23.24,296.80589672564200,90.19858721071620
2012-09-01,6.6,155160,23.96,317.83038611605700,90.14078028805030
2012-10-01,6.5,155554,23.71,322.58013798880500,90.12988333496280
2012-11-01,6.5,155338,23.63,301.97465375510800,90.11444229011610
2012-12-01,6.9,155628,24.03,325.07801510014700,89.70572318260410
2013-01-01,8.0,155763,24.17,287.79990890893800,90.02351151624000
2013-02-01,7.4,155312,24.01,359.79844687799900,89.92599169691980
2013-03-01,7.0,155005,24.15,336.94917105938900,89.80390621220280
2013-04-01,6.2,155394,24.21,293.96036551293700,89.71141970805290
2013-05-01,6.4,155536,23.97,315.98778861587500,89.51595109849290
2013-06-01,6.9,155749,24.05,486.01353754954200,89.47821928893530
2013-07-01,7.0,155599,23.98,783.50801072737400,89.22657948206590
2013-08-01,6.7,155605,24.10,303.69100610946900,89.09418467810040
2013-09-01,6.1,155687,24.68,262.11971667729500,89.17248107287330
2013-10-01,6.0,154673,24.71,330.41770387789000,89.21860853467860
2013-11-01,5.9,155265,24.50,354.61774160089400,89.20483575459600
2013-12-01,5.8,155182,24.91,268.06066747932600,89.15641862709380
2014-01-01,6.6,155352,24.64,312.25153604242600,88.80386228623310
2014-02-01,6.7,155483,24.99,264.16564368566600,88.93385664093420
2014-03-01,6.4,156028,24.92,322.86322414386600,89.14579290455020
2014-04-01,5.3,155369,24.84,361.39180494762100,88.72554605129900
2014-05-01,5.7,155684,24.26,416.75061955599900,88.58877225830630
2014-06-01,5.8,155707,24.14,383.62416861371300,88.54038304595910
2014-07-01,6.3,156007,24.03,444.74483584705800,88.29161380721820
2014-08-01,5.9,156130,23.88,270.83025052614300,88.67647868240720
2014-09-01,5.0,156040,24.15,454.96718927215600,88.63642118619540
